ID,GrabTime,PosTime,errorRate,WrongSelectedRate,Sucessful,Snapping
<<<<<<< HEAD
5,0,0,-1,0,0,0
=======
1,13277,8033,0,0,1,0
2,6732,4035,0,0,1,0
3,7319,3990,0,0,1,0
4,15005,3774,0,0,1,0
5,10044,2807,0,0,1,1
>>>>>>> f7760a13fb0ac728b58911a9a38c475aeee01c17
